City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
82,Severnyy,RU,50.677,36.5532,48.24,100,100,8.95
83,Omboue,GA,-1.5746,9.2618,81.03,76,69,5.55
84,Ust-Tsilma,RU,65.441,52.1498,4.42,93,100,3.71
85,Pisco,PE,-13.7,-76.2167,64.45,88,100,3.44
86,Carnarvon,AU,-24.8667,113.6333,76.78,67,69,18.03
87,Gwadar,PK,25.1216,62.3254,82.9,23,0,5.93
88,Taltal,CL,-25.4,-70.4833,59.67,86,62,0.92
89,Clyde River,CA,70.4692,-68.5914,7.03,61,100,27.63
90,Doha,QA,25.2867,51.5333,78.78,50,0,3.44
91,Sao Filipe,CV,14.8961,-24.4956,77.92,59,100,12.46
92,Crisan,RO,44.9667,29.4667,42.75,68,100,6.85
93,Lagunas,PE,-5.2269,-75.6753,72.16,96,7,2.71
94,Cidreira,BR,-30.1811,-50.2056,68.04,95,100,9.48
95,Inhambane,MZ,-23.865,35.3833,82.15,46,8,9.46
96,Viseu,PT,40.661,-7.9097,48.85,97,100,7.54
97,Sakakah,SA,29.9697,40.2064,69.15,41,71,8.84
98,Tolga,DZ,34.7222,5.3785,52.61,50,100,20.85
99,Thinadhoo,MV,0.5333,72.9333,81.77,73,100,14.67
100,Esteli,NI,13.0919,-86.3538,64.18,95,100,4.85
101,Hammerfest,NO,70.6634,23.6821,27.05,74,0,4.61
102,Mahebourg,MU,-20.4081,57.7,84.49,58,40,17.27
103,Taoudenni,ML,22.6783,-3.9836,60.96,32,1,13.11
104,Thompson,CA,55.7435,-97.8558,12.99,99,93,3.29
105,Manresa,ES,41.725,1.8266,51.55,65,0,11.01
106,Bambous Virieux,MU,-20.3428,57.7575,84.45,58,40,17.27
107,Capinopolis,BR,-18.6819,-49.5697,68.94,81,100,4.54
108,Omidiyeh,IR,30.7597,49.705,84.07,24,0,4.61
109,Lebu,CL,-37.6167,-73.65,53.53,89,12,15.75
110,Oussouye,SN,12.485,-16.5469,73.45,37,61,6.93
111,Bandarbeyla,SO,9.4942,50.8122,82.81,54,7,21.72
112,Ostrovnoy,RU,68.0531,39.5131,34.63,93,97,10.04
113,Atar,MR,20.5169,-13.0499,66.63,17,0,11.07
114,Bakchar,RU,57.0186,82.0711,15.1,91,100,9.48
115,Richards Bay,ZA,-28.783,32.0377,84.33,45,58,11.88
116,Porto Walter,BR,-8.2686,-72.7439,75.18,89,99,1.99
117,Jalu,LY,29.0331,21.5482,64.31,59,0,3.49
